,Discriminant,Class number,Time execution,Calculation times,Subexponentiality
255,-74596,64,0:00:01.252861,100,1
256,-74884,128,0:00:02.216725,100,1
257,-75044,128,0:00:00.922295,100,1
258,-75256,80,0:00:01.570311,100,1
259,-75688,50,0:00:00.771788,100,1
260,-77144,126,0:00:02.862858,100,1
261,-77384,176,0:00:01.203594,100,1
262,-78180,72,0:00:02.891546,100,1
263,-78360,96,0:00:05.379387,100,1
264,-78472,48,0:00:00.462197,100,1
265,-78708,72,0:00:01.420927,100,1
266,-78904,80,0:00:04.060460,100,1
267,-79048,64,0:00:00.747475,100,1
268,-79924,96,0:00:01.006964,100,1
269,-79928,112,0:00:02.525858,100,1
270,-80008,48,0:00:00.537003,100,1
271,-80516,180,0:00:03.998686,100,1
272,-80648,144,0:00:01.103289,100,1
273,-81240,96,0:00:03.197044,100,1
274,-81464,176,0:00:03.617909,100,1
275,-81592,64,0:00:02.402778,100,1
276,-81780,128,0:00:01.989552,100,1
277,-82616,176,0:00:02.336716,100,1
278,-82632,64,0:00:00.417595,100,1
279,-82936,96,0:00:02.366579,100,1
280,-82948,64,0:00:00.796652,100,1
281,-84072,72,0:00:00.906425,100,1
282,-84392,128,0:00:00.986491,100,1
283,-84760,64,0:00:01.629487,100,1
284,-84932,112,0:00:01.910421,100,1
285,-85672,54,0:00:00.826045,100,1
286,-85796,144,0:00:01.604725,100,1
287,-85816,96,0:00:01.939252,100,1
288,-86420,192,0:00:02.762995,100,1
289,-87688,80,0:00:00.754804,100,1
290,-87720,144,0:00:02.461030,100,1
291,-87992,80,0:00:01.410729,100,1
292,-88888,48,0:00:01.508651,100,1
293,-89284,128,0:00:01.969289,100,1
294,-89924,180,0:00:03.064954,100,1
295,-90616,64,0:00:02.876136,100,1
296,-90868,50,0:00:01.546073,100,1
297,-91448,96,0:00:02.131230,100,1
298,-91492,48,0:00:01.360603,100,1
299,-91860,144,0:00:02.416036,100,1
300,-92548,64,0:00:02.935695,100,1
301,-92568,64,0:00:02.298379,100,1
302,-92660,144,0:00:02.819903,100,1
303,-92712,72,0:00:01.370443,100,1
304,-92760,128,0:00:02.889486,100,1
305,-93316,96,0:00:04.266738,100,1
306,-93508,64,0:00:01.793916,100,1
307,-94340,128,0:00:03.062979,100,1
308,-94420,72,0:00:01.421363,100,1
309,-95448,72,0:00:02.145383,100,1
310,-95640,128,0:00:02.615122,100,1
311,-95812,96,0:00:03.451963,100,1
